Name,,City,,,,,
10alike,,,,,,,
Canadian Digital Media Network,,,,,,,
Council of Ontario Universities,,,,,,,
Ficstar,,,,,,,
FlashStock,,"Toronto, New York",,,,,
Grow Lab,,Vancouver,,,,,
IdeaBoost,,,,,,,
INcubes,,,,,,,
Inrealty,,,,,,,
JobVark.ca,,,,,,,
Multiplicity Accelerator,,,,,,,
MyCareerCity,,,,,,,
Physicalytics,,,,,,,
PlatinumAxis,,,,,,,
Tapstream,,,,,,,
velo Mobile Health Inc.,,,,,,,
VoteCompass,,,,,,,
Washly,,,,,,,
Bridgit,,,,,,,
Creative Destruction Labs,,,,,,,
Digiflare,,Mississagua,,,,,
DisclosureNet,,,,,,,
,,,,,,,
Its been founded in 2002,,,,,,,
Harp.io,,,,,,,
Intelex,,Toronto,,,,,
Massive Damage,,,,,,,
Modreal,,,,,,,
Nutonian,,Cambridge,,,,,
nvision Solutions,,Toronto,,,,,
Pager Duty,,San Francisco,,,,,
Plotly,,,,,,,
Spreed Inc.,,Toronto,,,,,
Start UP Canada,,,,,,,
Startup Digest,,,,,,,
Tapgage,,Toronto,,,,,
Vena Solutions,,Toronto,,,,,
Vicinity,,,,,,,
1DegreeBio,,,,,,,
2life,,Toronto,,,,,
ADknown,,Guelph,,,,,
Aislelabs,,,,,,,
Alert TV,,,,,,,
Alertly,,Toronto,,,,,
All Play No Work,,Toronto,,,,,
appzero,,Ottawa,,,,,
Bandlink,,Toronto,,,,,
Bettertheworld,,Toronto,,,,,
Bitmaker Labs,,Toronto,,,,,
Bitstrips,,Toronto,,,,,
Blinq Networks,,Kanata / US,,,,,
Campayn,,Toronto,,,,,
Canto Labs,,Toronto,,,,,
Catalog Spree,,,,,,,
CauseView,,Markham,,,,,
CellScale,,,,,,,
Class Messenger,,,,,,,
Covarity,,,,,,,
Cream.HR,,,,,,,
CrowdMark,,Toronto,,,,,
CrowdMax,,Toronto,,,,,
CrowdRiff,,Toronto,,,,,
CTT,,,,,,,
Dandy,,Waterloo,,,,,
Dashboard,,,,,,,
Demeure,,Waterloo,,,,,
Dirt,,,,,,,
Docova,,Toronto,,,,,
Ecobee,,Toronto,,,,,
Eidosearch,,,,,,,
embotics,,Ottawa,,,,,
Energent,,,,,,,
Eqentia,,,,,,,
eSentire,,Cambridge,,,,,
Fabric Engine Inc.,,,,,,,
FanCrank,,,,,,,
Fatigue Science,,Blaine,,,,,
Financial Post,,,,,,,
Fleet Bit,,Toronto,,,,,
FlowJEM,,,,,,,
FOTA Technologies,,Toronto,,,,,
Fotobounce,,Burlington,,,,,
Fuse Powered,,,,,,,
Fusebill,,Kanata,,,,,
Gentlemen's Post,,Toronto,,,,,
Globe and Mail,,,,,,,
gnowit,,,,,,,
Groupnotes,,Toronto,,,,,
gShift,,Barrie,,,,,
Guard.ly,,,,,,,
Health Myself,,,,,,,
HomeStars,,Toronto,,,,,
Igloo,,Kitchener,,,,,
InNetwork,,Halifax,,,,,
